Bathrooms,Bedrooms,Beds,LocationName,NumGuests,NumReviews,Price,Rating,latitude,longitude,zipcode,pop2016,pop2010,pop2000,cost_living_index (US avg. = 100),land_area (sq.mi.),water_area (sq.mi.),pop_density (people per mile),number of males,number of females,prop taxes paid 2016,median taxes (with mortgage,median taxes (no mortgage),median house value,median houshold income,median monthly owner costs (with mortgage),median monthly owner costs (no mortgage),median gross rent,median asking price for vacant for-sale home/condo,unemployment (%),Number of Homes,Count of Abnb,Density of Abnb (%),Average Abnb Price (by zipcode),Average NumReviews (by zipcode),Average Rating (by zipcode),Average Number of Bathrooms (by zipcode),Average Number of Bedrooms (by zipcode),Average Number of Beds (by zipcode),Average Number of Guests (by zipcode)
1.0,1.0,1.0,Brooklyn,2.0,13.0,89.0,Y,40.68386,-74.00050999999999,11231,36822.0,33336.0,32974,166.1,1.4,0.0,25892,17278,19543,0.4,4582.0,4810.0,1169066.0,87717.0,3275.0,876.0,1722.0,1543002.0,6.8,14728.8,155,1.052360002,178.3881579,29.739837400000003,4.816513761,1.222222222,1.638888889,2.0838709680000003,2.0838709680000003
1.0,1.0,2.0,San Diego,4.0,52.0,150.0,Y,32.79951,-117.25622,92109,49124.0,45787.0,46071,140.7,7.6,4.3,6463,25677,23447,0.5,5213.0,2847.0,821665.0,74047.0,2760.0,593.0,1532.0,984403.0,4.0,19649.6,656,3.3384903510000004,145.5595054,50.12617702,4.80990099,1.296183206,1.653130288,2.295731707,2.295731707
1.0,,1.0,New Orleans,2.0,39.0,79.0,N,29.97628,-90.11096,70119,37419.0,36228.0,50175,101.4,4.5,0.0,8368,19151,18268,0.6,1778.0,1139.0,244735.0,33708.0,1588.0,442.0,986.0,192284.0,6.8,14967.6,829,5.538630108,109.8454988,49.68790637,4.878179384,1.249698432,1.84828496,2.343787696,2.343787696
2.0,1.0,1.0,Washington,2.0,26.0,65.0,Y,38.94278,-77.08374,20016,35696.0,32519.0,31374,125.0,4.4,0.2,8040,16199,19496,0.6,6127.0,4248.0,940758.0,133243.0,3291.0,969.0,2005.0,3958678.0,3.3,14278.4,183,1.281656208,151.3965517,28.93220339,4.869369369,1.398907104,1.686746988,2.054644809,2.054644809
2.0,3.0,4.0,San Diego,8.0,7.0,215.0,Y,32.74597,-117.1419,92104,46444.0,44414.0,47688,137.8,3.8,0.0,12271,23469,22975,0.5,3281.0,1746.0,551513.0,54187.0,2272.0,419.0,1189.0,346332.0,5.6,18577.6,391,2.104685212,118.6311688,56.503125,4.920711974,1.153846154,1.51744186,1.792838875,1.792838875
2.0,2.0,3.0,New Orleans,6.0,13.0,175.0,Y,29.94627,-90.12837,70118,36182.0,33008.0,36847,102.7,4.7,0.7,7724,16863,19318,0.9,3748.0,2036.0,348955.0,41945.0,2155.0,586.0,999.0,453518.0,7.2,14472.8,388,2.680891051,143.8441558,40.36936937,4.885350318,1.343669251,1.97574124,2.548969072,2.548969072
1.0,1.0,1.0,San Francisco,2.0,58.0,120.0,N,37.74602,-122.4554,94127,20960.0,19289.0,20624,156.2,1.8,0.0,11839,10591,10368,0.6,8204.0,1808.0,1170842.0,144122.0,3746.0,520.0,2511.0,1425325.0,3.4,8384.0,145,1.729484733,166.6,81.18461538,4.865079365,1.220689655,1.5703125,1.855172414,1.855172414
3.0,4.0,5.0,San Diego,8.0,11.0,350.0,N,33.03549,-117.08204,92127,44213.0,39337.0,20032,133.2,22.1,0.5,2004,21309,22903,1.2,9449.0,6833.0,744304.0,122010.0,3533.0,771.0,1856.0,3307073.0,2.8,17685.2,34,0.192251148,221.6363636,13.9375,4.933333333,1.882352941,2.235294118,2.764705882,2.764705882
1.0,1.0,1.0,New York,3.0,104.0,68.0,N,40.82723,-73.94533,10031,61649.0,56438.0,60221,153.9,0.7,0.0,94729,30600,31049,0.7,2045.0,3937.0,357945.0,43584.0,1925.0,251.0,1214.0,232430.0,7.6,24659.6,103,0.417687229,74.11340206,53.01063829999999,4.7880434780000005,1.098039216,1.121212121,1.5533980580000002,1.5533980580000002
1.0,1.0,1.0,Silver Spring,2.0,28.0,46.0,N,38.99337,-77.03671,20012,14664.0,13414.0,13604,123.4,2.3,0.0,6486,7029,7634,0.5,3105.0,2356.0,641194.0,83703.0,2632.0,554.0,1264.0,257074.0,6.5,5865.6,84,1.43207856,97.86746988,21.1509434,4.802083333,1.168674699,1.35,1.666666667,1.666666667
1.0,2.0,3.0,Oakland,6.0,16.0,242.0,N,37.80971,-122.25594,94130,3134.0,2880.0,1453,144.2,0.9,0.0,3405,1762,1372,0.6,,,,51315.0,,,1919.0,3898250.0,9.7,1253.6,4143,330.488194,117.6974026,43.55297486,4.837385538,1.189231573,1.461605081,1.775991703,1.775991703
3.0,3.0,3.0,San Mateo,8.0,73.0,250.0,Y,37.52675,-122.30292,94134,42274.0,40798.0,40134,155.2,2.4,0.0,17616,20688,21586,0.6,5453.0,1813.0,693470.0,69701.0,2553.0,415.0,1437.0,635000.0,6.8,16909.6,1101,6.51109429,154.094518,48.45338442,4.845794393,1.322878229,1.549407115,1.934862385,1.934862385
1.0,1.0,1.0,New Orleans,2.0,36.0,105.0,Y,29.92377,-90.08068,70130,14256.0,14064.0,14891,102.3,2.1,0.5,6769,7361,6895,0.9,3910.0,3210.0,391687.0,54532.0,2441.0,873.0,1167.0,528936.0,5.3,5702.4,283,4.9628226710000005,100.18505340000002,60.99628253,4.871268657,1.219081272,1.498113208,1.982332155,1.982332155
1.0,1.0,2.0,New Orleans,2.0,46.0,67.0,Y,29.95473,-90.04569000000001,70114,26238.0,22870.0,28385,98.2,4.9,0.7,5388,11917,14320,0.8,1599.0,899.0,160826.0,31232.0,1359.0,384.0,850.0,154328.0,11.8,10495.2,67,0.638387072,101.8208955,50.93939394,4.935483871000001,1.149253731,1.7121212119999998,2.507462687,2.507462687
2.0,2.0,2.0,Sunny Isles Beach,4.0,27.0,125.0,Y,25.93136,-80.12785,33141,40307.0,35249.0,36545,111.9,2.3,5.2,17406,21026,19282,0.9,2806.0,2559.0,313216.0,43893.0,2038.0,804.0,1163.0,2404330.0,4.6,16122.8,829,5.141786786,123.4434889,25.91878981,4.756521739,1.507246377,1.754226268,2.530193237,2.530193237
1.0,1.0,1.0,Boston,2.0,112.0,37.0,N,42.35004,-71.14618,2135,41094.0,42780.0,43887,141.5,2.6,0.2,15597,18525,22567,0.8,3734.0,4580.0,483587.0,59708.0,2215.0,772.0,1655.0,646082.0,3.7,16437.6,137,0.8334550059999999,114.9776119,38.95,4.774725275,1.220588235,1.535433071,2.065693431,2.065693431
1.0,1.0,1.0,Philadelphia,2.0,10.0,95.0,Y,39.93464,-75.17656,19146,37767.0,35113.0,35783,107.1,1.7,0.1,22353,17495,20270,0.4,1613.0,903.0,291129.0,54608.0,1803.0,395.0,1039.0,269196.0,6.7,15106.8,296,1.95938253,112.7024221,45.3805668,4.846311475,1.307432432,1.685314685,2.22972973,2.22972973
1.0,3.0,3.0,Newton,7.0,10.0,200.0,Y,42.36012,-71.23553000000001,2467,22364.0,22491.0,11078,141.7,4.9,0.1,4590,10210,12153,0.9,7599.0,7269.0,798468.0,112910.0,2905.0,1297.0,2099.0,1970803.0,3.1,8945.6,93,1.039617242,130.0108696,34.95588235,4.782258065,1.293478261,1.615384615,2.129032258,2.129032258
1.0,1.0,1.0,Brooklyn,2.0,90.0,99.0,Y,40.73607,-73.95201,11222,36207.0,36934.0,39360,161.0,1.5,0.1,23754,17302,18903,0.5,3423.0,4026.0,791808.0,76436.0,2752.0,757.0,1841.0,4684674.0,4.1,14482.8,133,0.91833071,124.9140625,37.7107438,4.858974358999999,1.067669173,1.245454545,1.466165414,1.466165414
2.0,1.0,1.0,New York,3.0,82.0,99.0,N,40.74722,-73.99155999999999,10001,23666.0,21102.0,17310,153.9,0.6,0.0,38085,12293,11373,1.0,7719.0,4620.0,511113.0,88701.0,3241.0,461.0,2185.0,2162114.0,5.3,9466.4,53,0.559874926,123.754717,61.0,4.6363636360000005,1.211538462,1.195121951,1.5471698109999998,1.5471698109999998
