Bathrooms,Bedrooms,Beds,LocationName,NumGuests,NumReviews,Price,Rating,latitude,longitude,zipcode,pop2016,pop2010,pop2000,cost_living_index (US avg. = 100),land_area (sq.mi.),water_area (sq.mi.),pop_density (people per mile),number of males,number of females,prop taxes paid 2016,median taxes (with mortgage,median taxes (no mortgage),median house value,median houshold income,median monthly owner costs (with mortgage),median monthly owner costs (no mortgage),median gross rent,median asking price for vacant for-sale home/condo,unemployment (%),Number of Homes,Count of Abnb,Density of Abnb (%),Average Abnb Price (by zipcode),Average NumReviews (by zipcode),Average Rating (by zipcode),Average Number of Bathrooms (by zipcode),Average Number of Bedrooms (by zipcode),Average Number of Beds (by zipcode),Average Number of Guests (by zipcode)
1.0,1.0,2.0,Albany,2.0,61.0,Y,Y,37.88462,-122.28704,94130,3134.0,2880.0,1453,144.2,0.9,0.0,3405,1762,1372,0.6,,,,51315.0,,,1919.0,3898250.0,9.7,1253.6,4143,330.488194,117.6974026,43.55297486,4.837385538,1.189231573,1.461605081,1.775991703,1.775991703
1.0,1.0,1.0,Brooklyn,2.0,5.0,N,Y,40.68314,-73.97529,11217,39224.0,35881.0,35353,162.5,0.8,0.0,52249,18631,20592,0.4,4695.0,4903.0,1100696.0,98910.0,3336.0,839.0,1851.0,2541159.0,4.9,15689.6,143,0.911431776,144.2357143,47.828125,4.782258065,1.118881119,1.452991453,1.902097902,1.902097902
1.0,1.0,1.0,Washington,1.0,36.0,N,Y,38.91446,-77.04303,20009,52246.0,47992.0,46561,123.9,1.3,0.0,39745,27339,24908,0.6,3966.0,4483.0,680818.0,101610.0,2507.0,862.0,1786.0,627371.0,3.8,20898.4,189,0.904375455,112.8359788,70.79190751,4.885964912,1.243386243,1.348993289,1.7936507940000002,1.7936507940000002
1.0,,2.0,Miami,4.0,49.0,N,Y,25.79207,-80.18656999999999,33132,11596.0,11165.0,5322,114.1,1.7,1.5,6799,6803,4794,1.1,4922.0,5435.0,481478.0,72916.0,2660.0,1259.0,1893.0,530742.0,3.3,4638.4,1634,35.22766471,115.1635572,37.41294643,4.791763792,1.317596567,1.584033613,2.14504284,2.14504284
1.0,2.0,2.0,San Diego,4.0,22.0,Y,Y,32.76567,-117.10001,92116,33392.0,31680.0,33080,136.4,3.5,0.0,9629,17098,16293,0.6,3751.0,2236.0,587807.0,62866.0,2119.0,474.0,1192.0,436070.0,5.1,13356.8,306,2.290967897,111.4238411,43.13122172,4.895522388,1.140983607,1.4397163119999998,1.764705882,1.764705882
1.0,2.0,4.0,New Orleans,6.0,92.0,Y,Y,29.96194,-90.04486,70117,24945.0,23389.0,51252,99.8,5.5,0.8,4552,11913,13031,0.5,1307.0,607.0,177141.0,28440.0,1281.0,405.0,910.0,176336.0,7.9,9978.0,386,3.868510724,106.5807292,73.79096045,4.829971182,1.329015544,1.798941799,2.393782383,2.393782383
1.0,1.0,2.0,New Orleans,2.0,34.0,N,Y,29.94104,-90.11083,70125,16992.0,14479.0,23887,102.6,2.3,0.0,7252,8064,8927,0.8,3109.0,1746.0,318322.0,38122.0,2070.0,573.0,971.0,223889.0,7.1,6796.8,327,4.811087571,117.5603715,39.42605634,4.838709677,1.327217125,2.078431373,2.706422018,2.706422018
1.0,2.0,3.0,Oakland,6.0,16.0,Y,N,37.80971,-122.25594,94130,3134.0,2880.0,1453,144.2,0.9,0.0,3405,1762,1372,0.6,,,,51315.0,,,1919.0,3898250.0,9.7,1253.6,4143,330.488194,117.6974026,43.55297486,4.837385538,1.189231573,1.461605081,1.775991703,1.775991703
1.0,2.0,3.0,San Diego,5.0,5.0,Y,Y,32.73815,-117.22915,92106,19134.0,19330.0,18505,141.7,5.6,0.7,3389,9861,9273,0.5,6178.0,3123.0,950303.0,86743.0,3120.0,581.0,1857.0,1677498.0,5.9,7653.6,183,2.391031671,191.90857140000003,29.73793103,4.868613139,1.513661202,1.892857143,2.404371585,2.404371585
1.0,1.0,1.0,San Francisco,2.0,68.0,Y,Y,37.74667,-122.40768,94110,74565.0,69333.0,74633,155.3,2.3,0.0,32066,40024,34542,0.6,7115.0,3076.0,983378.0,101610.0,3197.0,534.0,1585.0,1501646.0,5.0,29826.0,461,1.545631328,162.1862528,75.53395785,4.891509434,1.23059867,1.4613583140000002,1.791574279,1.791574279
1.0,1.0,2.0,Seattle,2.0,9.0,N,N,47.70236,-122.34192,98103,50072.0,45911.0,41971,117.7,4.6,0.7,10802,24922,25149,0.8,4700.0,5256.0,613335.0,87557.0,2290.0,704.0,1387.0,586517.0,2.5,20028.8,249,1.243209778,112.0367347,46.40669856,4.868159204,1.204819277,1.545851528,1.863453815,1.863453815
1.0,1.0,1.0,Brooklyn,2.0,10.0,N,Y,40.64277,-73.97296,11218,75904.0,75220.0,74611,160.5,1.4,0.0,53200,37393,38510,0.6,3887.0,4282.0,693360.0,63344.0,2317.0,768.0,1486.0,1040304.0,4.8,30361.6,111,0.365593381,104.271028,26.87356322,4.790123457,1.171171171,1.416666667,1.810810811,1.810810811
1.0,1.0,1.0,San Francisco,2.0,6.0,N,N,37.7325,-122.43911,94131,28756.0,26881.0,27897,157.2,2.1,0.0,13828,15744,13013,0.6,7754.0,3344.0,1130219.0,115691.0,3496.0,546.0,1975.0,1406358.0,3.4,11502.4,365,3.1732508,210.890411,72.40350877,4.920353982,1.257617729,1.629518072,1.917808219,1.917808219
2.0,2.0,4.0,Washington,8.0,92.0,Y,N,38.91263,-77.03324,20009,52246.0,47992.0,46561,123.9,1.3,0.0,39745,27339,24908,0.6,3966.0,4483.0,680818.0,101610.0,2507.0,862.0,1786.0,627371.0,3.8,20898.4,189,0.904375455,112.8359788,70.79190751,4.885964912,1.243386243,1.348993289,1.7936507940000002,1.7936507940000002
1.0,2.0,3.0,Atlanta,4.0,29.0,Y,Y,33.75486,-84.37136,30312,22786.0,19360.0,20221,98.5,3.4,0.0,6796,10824,11961,1.0,2455.0,1388.0,234413.0,44854.0,1656.0,502.0,1017.0,445032.0,6.4,9114.4,200,2.194329852,119.3686869,40.4,4.9375,1.375,1.602094241,1.925,1.925
1.0,1.0,1.0,Washington,2.0,37.0,Y,Y,38.90531,-77.02279,20001,45643.0,38551.0,33550,123.8,2.2,0.1,20929,22223,23419,0.5,3473.0,2753.0,649740.0,96366.0,2637.0,638.0,1741.0,979244.0,4.9,18257.2,382,2.09232522,123.0738786,68.04273504,4.828488372,1.206806283,1.374301676,2.282722513,2.282722513
1.0,1.0,1.0,Seattle,3.0,5.0,Y,N,47.65854,-122.31676000000002,98105,47181.0,43924.0,38963,127.0,4.1,2.5,11442,23570,23611,0.8,5721.0,5569.0,723882.0,53773.0,2821.0,830.0,1239.0,573890.0,7.5,18872.4,54,0.286132129,81.0,16.42857143,4.454545455,1.5555555559999998,1.078431373,1.574074074,1.574074074
2.0,1.0,1.0,Seattle,2.0,90.0,Y,N,47.61076,-122.32877,98164,136.0,141.0,1,109.5,0.0,0.0,38433,64,71,0.7,,,687921.0,153898.0,3132.0,,,613354.0,12.3,54.4,74,136.0294118,114.1111111,86.06666667,4.798245614,1.094594595,1.25,1.256756757,1.256756757
1.0,2.0,2.0,San Diego,4.0,5.0,Y,N,32.8803,-117.21416,92121,4653.0,4179.0,4248,135.4,12.3,0.0,380,2614,2039,0.7,5423.0,4841.0,770609.0,106134.0,2903.0,677.0,1899.0,462825.0,4.4,1861.2,43,2.310337417,181.627907,25.65217391,4.8684210530000005,1.372093023,1.581395349,1.930232558,1.930232558
1.0,1.0,1.0,New Orleans,4.0,31.0,N,Y,29.93516,-90.07634,70130,14256.0,14064.0,14891,102.3,2.1,0.5,6769,7361,6895,0.9,3910.0,3210.0,391687.0,54532.0,2441.0,873.0,1167.0,528936.0,5.3,5702.4,283,4.9628226710000005,100.18505340000002,60.99628253,4.871268657,1.219081272,1.498113208,1.982332155,1.982332155
3.0,4.0,5.0,Yonkers,8.0,10.0,Y,Y,40.92016,-73.90411,10471,21910.0,22922.0,23413,147.9,2.6,0.0,8486,10324,11586,1.4,5172.0,5179.0,358056.0,84979.0,2004.0,646.0,1555.0,330942.0,5.7,8764.0,27,0.308078503,88.62962963,20.44444444,4.705882353,1.185185185,1.192307692,1.333333333,1.333333333
2.0,2.0,5.0,New Orleans,10.0,26.0,Y,Y,29.95178,-90.12836,70118,36182.0,33008.0,36847,102.7,4.7,0.7,7724,16863,19318,0.9,3748.0,2036.0,348955.0,41945.0,2155.0,586.0,999.0,453518.0,7.2,14472.8,388,2.680891051,143.8441558,40.36936937,4.885350318,1.343669251,1.97574124,2.548969072,2.548969072
2.0,3.0,3.0,San Francisco,7.0,113.0,Y,N,37.71817,-122.38838,94124,35954.0,33996.0,33170,155.9,4.9,1.1,7298,17643,18310,0.7,4648.0,2987.0,627764.0,55534.0,2339.0,485.0,979.0,636286.0,9.2,14381.6,128,0.890026145,138.76190480000002,52.64772727,4.775,1.228346457,1.425,1.787401575,1.787401575
1.0,1.0,2.0,New Orleans,2.0,114.0,N,Y,30.01632,-90.06068,70122,37303.0,28564.0,46533,98.4,7.1,1.0,5289,17107,20194,0.7,1434.0,1075.0,191570.0,39401.0,1437.0,465.0,957.0,155996.0,9.3,14921.2,494,3.310725679,117.9173554,38.60277136,4.911330049,1.374745418,2.138004246,2.684210526,2.684210526
3.0,3.0,3.0,Washington,6.0,42.0,Y,Y,38.91297,-77.01915,20001,45643.0,38551.0,33550,123.8,2.2,0.1,20929,22223,23419,0.5,3473.0,2753.0,649740.0,96366.0,2637.0,638.0,1741.0,979244.0,4.9,18257.2,382,2.09232522,123.0738786,68.04273504,4.828488372,1.206806283,1.374301676,2.282722513,2.282722513
1.0,1.0,1.0,Queens,2.0,40.0,N,Y,40.73841,-73.92233,11104,26476.0,27232.0,29506,155.3,0.4,0.0,68032,12939,13536,0.8,4700.0,3196.0,488803.0,59526.0,1992.0,719.0,1496.0,1153123.0,4.7,10590.4,82,0.7742861459999999,74.65,37.21917808,4.833333333,1.097560976,1.164556962,1.548780488,1.548780488
1.0,1.0,1.0,Atlanta,2.0,15.0,N,N,33.82613,-84.33963,30324,26343.0,24267.0,20317,99.1,5.3,0.0,5006,13630,12713,1.1,3915.0,3198.0,335525.0,66294.0,2081.0,684.0,1225.0,212039.0,4.2,10537.2,96,0.911057966,103.6736842,21.16923077,4.847457627,1.28125,1.47311828,1.6875,1.6875
1.0,2.0,2.0,Boston,4.0,101.0,Y,Y,42.31086,-71.09921999999999,2130,39879.0,35401.0,36293,137.8,3.3,0.1,11961,18135,21743,0.7,3062.0,4504.0,507672.0,82714.0,2270.0,782.0,1514.0,425883.0,4.5,15951.6,39,0.244489581,100.4473684,48.84848485,4.870967742,1.157894737,1.526315789,1.743589744,1.743589744
2.0,3.0,11.0,New Orleans,6.0,21.0,Y,Y,29.927740000000004,-90.03517,70114,26238.0,22870.0,28385,98.2,4.9,0.7,5388,11917,14320,0.8,1599.0,899.0,160826.0,31232.0,1359.0,384.0,850.0,154328.0,11.8,10495.2,67,0.638387072,101.8208955,50.93939394,4.935483871000001,1.149253731,1.7121212119999998,2.507462687,2.507462687
1.0,1.0,1.0,Miami,2.0,4.0,Y,Y,25.82224,-80.19435,33132,11596.0,11165.0,5322,114.1,1.7,1.5,6799,6803,4794,1.1,4922.0,5435.0,481478.0,72916.0,2660.0,1259.0,1893.0,530742.0,3.3,4638.4,1634,35.22766471,115.1635572,37.41294643,4.791763792,1.317596567,1.584033613,2.14504284,2.14504284
1.0,1.0,1.0,Brookline,2.0,63.0,Y,Y,42.33507,-71.11805,2215,25052.0,26125.0,21963,147.8,0.8,0.1,32786,10603,14448,0.9,3766.0,6263.0,492244.0,41779.0,2456.0,1212.0,1747.0,1063516.0,7.4,10020.8,53,0.528899888,107.4615385,44.87234043,4.788888889,1.188679245,1.32,1.905660377,1.905660377
1.0,2.0,2.0,San Diego,4.0,18.0,Y,Y,32.74701,-117.24035,92107,29712.0,28651.0,27956,140.0,3.1,0.5,9468,14798,14913,0.5,4964.0,2759.0,827547.0,76120.0,2589.0,580.0,1443.0,1074827.0,4.7,11884.8,518,4.358508347,151.2694611,50.85193622,4.852731591,1.328185328,1.795258621,2.478764479,2.478764479
1.0,1.0,1.0,Atlanta,2.0,6.0,Y,Y,33.7725,-84.36719000000001,30308,17280.0,15413.0,11796,98.0,1.6,0.0,10836,10075,7205,1.2,3155.0,2380.0,259718.0,59088.0,1713.0,665.0,1162.0,326958.0,4.6,6912.0,210,3.038194444,141.4285714,36.27329193,4.880794702,1.285714286,1.494680851,1.933333333,1.933333333
1.0,2.0,2.0,New Orleans,4.0,139.0,N,Y,29.9528,-90.04930999999999,70114,26238.0,22870.0,28385,98.2,4.9,0.7,5388,11917,14320,0.8,1599.0,899.0,160826.0,31232.0,1359.0,384.0,850.0,154328.0,11.8,10495.2,67,0.638387072,101.8208955,50.93939394,4.935483871000001,1.149253731,1.7121212119999998,2.507462687,2.507462687
1.0,1.0,1.0,Brooklyn,1.0,13.0,N,Y,40.64801,-73.99998000000001,11232,29808.0,28265.0,27723,163.9,1.3,0.0,23190,15898,13910,0.5,3177.0,3601.0,643747.0,49767.0,2309.0,668.0,1403.0,517724.0,6.4,11923.2,74,0.620638755,103.880597,25.98245614,4.798076923,1.067567568,1.28358209,1.5,1.5
1.0,2.0,3.0,Washington,6.0,30.0,Y,Y,38.8836,-76.98227,20003,29487.0,26454.0,23122,123.8,2.2,0.3,13144,15559,13928,0.5,4113.0,3131.0,771719.0,118469.0,2685.0,577.0,1848.0,730517.0,4.4,11794.8,410,3.476108115,127.7487685,54.34444444,4.900289017,1.196078431,1.442708333,2.487804878,2.487804878
1.0,1.0,2.0,New Orleans,4.0,152.0,N,Y,29.98645,-90.06517,70116,11761.0,11507.0,16688,102.7,1.3,0.1,9105,6321,5440,0.8,2543.0,2041.0,276478.0,32017.0,1874.0,554.0,919.0,203035.0,10.7,4704.4,703,14.94345719,94.17191977,83.96723869,4.823667712,1.211126961,1.524242424,2.06685633,2.06685633
0.0,1.0,1.0,San Francisco,1.0,42.0,N,Y,37.79325,-122.40326,94104,496.0,406.0,374,197.8,0.1,0.0,6392,324,171,0.6,,,1768971.0,53636.0,,,443.0,3898250.0,9.9,198.4,43,21.673387100000003,79.87179487,115.1538462,4.593023256,0.3913043479999999,1.0,1.051282051,1.051282051
1.0,1.0,1.0,San Francisco,2.0,191.0,Y,Y,37.74935,-122.43532,94131,28756.0,26881.0,27897,157.2,2.1,0.0,13828,15744,13013,0.6,7754.0,3344.0,1130219.0,115691.0,3496.0,546.0,1975.0,1406358.0,3.4,11502.4,365,3.1732508,210.890411,72.40350877,4.920353982,1.257617729,1.629518072,1.917808219,1.917808219
3.0,3.0,5.0,Oakland,6.0,13.0,Y,Y,37.84086,-122.20708,94130,3134.0,2880.0,1453,144.2,0.9,0.0,3405,1762,1372,0.6,,,,51315.0,,,1919.0,3898250.0,9.7,1253.6,4143,330.488194,117.6974026,43.55297486,4.837385538,1.189231573,1.461605081,1.775991703,1.775991703
1.0,2.0,4.0,Brooklyn,6.0,173.0,Y,N,40.68243,-73.90655,11233,73194.0,67053.0,61955,172.7,1.3,0.0,54302,32614,40577,0.4,2766.0,2996.0,676489.0,37166.0,2572.0,756.0,1152.0,746172.0,7.7,29277.6,161,0.549908462,66.03797468,39.34482759,4.669064748,1.298136646,1.24516129,1.757763975,1.757763975
1.0,1.0,1.0,Arlington,2.0,36.0,Y,Y,38.88682,-77.09164,20007,26793.0,26866.0,28818,125.9,3.0,0.5,8917,12773,14020,0.7,6618.0,7121.0,1011681.0,124468.0,3410.0,1257.0,1865.0,685283.0,3.2,10717.2,1265,11.80345613,168.866129,31.23350923,4.7877218930000005,1.254358162,1.4344600159999998,1.716996047,1.716996047
1.0,1.0,3.0,Washington,5.0,13.0,Y,N,38.90643,-77.02501,20005,13250.0,12775.0,10610,123.2,0.4,0.0,31094,6723,6527,0.6,3560.0,3916.0,562612.0,94988.0,2652.0,728.0,1862.0,317067.0,2.3,5300.0,123,2.320754717,135.2682927,52.00917431,4.8,1.262295082,1.453703704,2.203252033,2.203252033
2.0,3.0,3.0,San Diego,6.0,16.0,Y,N,32.771770000000004,-117.16827,92103,34358.0,31066.0,30186,137.1,3.8,0.0,9123,17440,16918,0.7,4955.0,3037.0,707677.0,75195.0,2675.0,654.0,1358.0,592272.0,3.8,13743.2,503,3.659991851,155.15230459999998,49.58097686,4.882271468,1.357852883,1.665943601,2.1510934390000003,2.1510934390000003
1.0,2.0,4.0,Seattle,6.0,8.0,Y,N,47.71504,-122.31467,98125,40261.0,37081.0,34994,117.4,5.4,1.5,7469,19587,20673,0.9,3784.0,4095.0,446738.0,60796.0,2080.0,648.0,1173.0,402504.0,5.4,16104.4,77,0.4781301999999999,90.22368421,32.03333333,4.8684210530000005,1.155844156,1.478873239,1.74025974,1.74025974
1.0,1.0,1.0,New York,2.0,6.0,Y,Y,40.70468,-74.00721999999999,10005,8834.0,7135.0,884,169.5,0.1,0.0,120158,4262,4572,0.2,,3609.0,1581508.0,135514.0,3987.0,1364.0,3106.0,7040133.0,2.6,3533.6,70,1.980982567,220.6086957,36.3,4.808510638,1.114285714,1.6481481480000002,1.914285714,1.914285714
1.0,3.0,3.0,San Diego,5.0,17.0,Y,Y,32.7295,-117.13236,92104,46444.0,44414.0,47688,137.8,3.8,0.0,12271,23469,22975,0.5,3281.0,1746.0,551513.0,54187.0,2272.0,419.0,1189.0,346332.0,5.6,18577.6,391,2.104685212,118.6311688,56.503125,4.920711974,1.153846154,1.51744186,1.792838875,1.792838875
1.0,1.0,1.0,Richmond,2.0,120.0,N,Y,37.94237,-122.31284,94130,3134.0,2880.0,1453,144.2,0.9,0.0,3405,1762,1372,0.6,,,,51315.0,,,1919.0,3898250.0,9.7,1253.6,4143,330.488194,117.6974026,43.55297486,4.837385538,1.189231573,1.461605081,1.775991703,1.775991703
1.0,,4.0,San Diego,5.0,5.0,Y,N,32.85259,-117.23995,92037,39213.0,46781.0,42603,144.2,13.1,2.0,3001,18495,20718,0.6,8596.0,6399.0,1312466.0,106541.0,3822.0,1114.0,1873.0,1683614.0,3.8,15685.2,167,1.064697932,182.1202532,57.77564103,4.881578947,1.550898204,2.087248322,2.8982035930000003,2.8982035930000003
2.0,2.0,3.0,San Diego,4.0,10.0,Y,Y,32.94522,-117.23364,92130,52499.0,48940.0,28187,136.4,18.4,0.0,2847,25931,26568,0.9,8993.0,7055.0,987818.0,142532.0,3648.0,889.0,2321.0,1541128.0,4.1,20999.6,114,0.542867483,195.5142857,16.69354839,4.855769231,1.754385965,2.009174312,2.271929825,2.271929825
1.0,1.0,1.0,New Orleans,2.0,206.0,Y,Y,29.96512,-90.0506,70116,11761.0,11507.0,16688,102.7,1.3,0.1,9105,6321,5440,0.8,2543.0,2041.0,276478.0,32017.0,1874.0,554.0,919.0,203035.0,10.7,4704.4,703,14.94345719,94.17191977,83.96723869,4.823667712,1.211126961,1.524242424,2.06685633,2.06685633
2.0,3.0,4.0,San Francisco,6.0,8.0,Y,N,37.73695,-122.424,94110,74565.0,69333.0,74633,155.3,2.3,0.0,32066,40024,34542,0.6,7115.0,3076.0,983378.0,101610.0,3197.0,534.0,1585.0,1501646.0,5.0,29826.0,461,1.545631328,162.1862528,75.53395785,4.891509434,1.23059867,1.4613583140000002,1.791574279,1.791574279
2.0,2.0,3.0,Boston,5.0,3.0,Y,N,42.3483,-71.14211999999999,2135,41094.0,42780.0,43887,141.5,2.6,0.2,15597,18525,22567,0.8,3734.0,4580.0,483587.0,59708.0,2215.0,772.0,1655.0,646082.0,3.7,16437.6,137,0.8334550059999999,114.9776119,38.95,4.774725275,1.220588235,1.535433071,2.065693431,2.065693431
2.0,3.0,3.0,Boston,6.0,3.0,Y,Y,42.30317,-71.11783,2130,39879.0,35401.0,36293,137.8,3.3,0.1,11961,18135,21743,0.7,3062.0,4504.0,507672.0,82714.0,2270.0,782.0,1514.0,425883.0,4.5,15951.6,39,0.244489581,100.4473684,48.84848485,4.870967742,1.157894737,1.526315789,1.743589744,1.743589744
1.0,3.0,3.0,New Orleans,8.0,12.0,Y,N,30.0121,-90.03924,70126,26344.0,23958.0,40677,100.2,10.1,1.8,2608,11682,14661,0.5,1003.0,736.0,168040.0,25238.0,1253.0,377.0,896.0,121057.0,10.5,10537.6,32,0.303674461,141.375,20.08,4.645833333,2.125,2.6,3.6875,3.6875
