0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
2.0,2.0,2.0,4.0,9.0,179.0,32.75659,-117.11892,92116.0,33392.0,31680.0,33080.0,136.4,3.5,0.0,9629.0,17098.0,16293.0,0.6,3751.0,2236.0,587807.0,62866.0,2119.0,474.0,1192.0,436070.0,5.1,13356.8,306.0,2.290967897,111.4238411,43.13122172,4.895522388,1.140983607,1.4397163119999998,1.764705882,1.764705882
1.0,1.4741433021806853,1.0,2.0,27.0,129.0,38.90513,-77.05230999999999,20037.0,15504.0,14642.0,12642.0,127.5,0.6,0.3,24097.0,7071.0,8432.0,0.6,4203.0,4315.0,668720.0,75467.0,2696.0,1044.0,2091.0,1621072.0,2.9,6201.6,419.0,6.756320949,153.59223300000002,38.3728223,4.766536965,1.215827338,1.425,1.894988067,1.894988067
1.0,1.0,1.0,2.0,172.0,112.0,37.58423,-122.35999,94134.0,42274.0,40798.0,40134.0,155.2,2.4,0.0,17616.0,20688.0,21586.0,0.6,5453.0,1813.0,693470.0,69701.0,2553.0,415.0,1437.0,635000.0,6.8,16909.6,1101.0,6.51109429,154.094518,48.45338442,4.845794393,1.322878229,1.549407115,1.934862385,1.934862385
1.0,2.0,5.0,6.0,69.0,100.0,40.72976,-73.95189,11222.0,36207.0,36934.0,39360.0,161.0,1.5,0.1,23754.0,17302.0,18903.0,0.5,3423.0,4026.0,791808.0,76436.0,2752.0,757.0,1841.0,4684674.0,4.1,14482.8,133.0,0.91833071,124.9140625,37.7107438,4.858974358999999,1.067669173,1.245454545,1.466165414,1.466165414
1.0,1.0,1.0,3.0,112.0,130.0,40.67026,-73.9497,11225.0,61188.0,56829.0,63774.0,166.1,0.9,0.0,69226.0,28013.0,33173.0,0.5,3830.0,4326.0,725436.0,50613.0,2675.0,809.0,1304.0,772975.0,9.6,24475.2,109.0,0.445348761,89.58095238,49.52,4.846938776,1.055045872,1.306930693,1.7522935780000002,1.7522935780000002
3.0,1.0,1.0,1.0,7.0,50.0,47.65139,-122.33235,98102.0,24374.0,20756.0,19424.0,117.0,1.3,0.3,18802.0,13011.0,11363.0,0.8,4279.0,4550.0,521657.0,80565.0,2278.0,861.0,1393.0,613354.0,2.7,9749.6,217.0,2.2257323380000003,131.5,59.58510638,4.860655738,1.4074074069999998,1.544973545,1.792626728,1.792626728
2.0,2.0,2.0,6.0,3.0,140.0,33.74037,-84.36944,30312.0,22786.0,19360.0,20221.0,98.5,3.4,0.0,6796.0,10824.0,11961.0,1.0,2455.0,1388.0,234413.0,44854.0,1656.0,502.0,1017.0,445032.0,6.4,9114.4,200.0,2.194329852,119.3686869,40.4,4.9375,1.375,1.602094241,1.925,1.925
2.0,4.0,7.0,10.0,101.0,200.0,32.780770000000004,-117.15555,92108.0,21198.0,18858.0,11640.0,131.4,4.3,0.1,4950.0,10604.0,10594.0,0.9,2967.0,1988.0,332306.0,68307.0,1740.0,608.0,1955.0,738093.0,5.5,8479.2,159.0,1.875176903,114.7012987,33.8907563,4.848623853,1.270440252,1.46,1.924528302,1.924528302
1.0,1.4741433021806853,1.0,2.0,8.0,95.0,37.7378,-122.14836,94130.0,3134.0,2880.0,1453.0,144.2,0.9,0.0,3405.0,1762.0,1372.0,0.6,4512.598465011287,3644.708202034753,632259.0128732343,51315.0,2502.8628223495703,731.4022316206245,1919.0,3898250.0,9.7,1253.6,4143.0,330.488194,117.6974026,43.55297486,4.837385538,1.189231573,1.461605081,1.775991703,1.775991703
1.0,1.0,1.0,2.0,40.0,83.0,37.84616,-122.24682,94130.0,3134.0,2880.0,1453.0,144.2,0.9,0.0,3405.0,1762.0,1372.0,0.6,4512.598465011287,3644.708202034753,632259.0128732343,51315.0,2502.8628223495703,731.4022316206245,1919.0,3898250.0,9.7,1253.6,4143.0,330.488194,117.6974026,43.55297486,4.837385538,1.189231573,1.461605081,1.775991703,1.775991703
